Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
E 6 15.06,Règlement fixant le tarif des émoluments des huissiers judiciaires (REmHJ),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 25,Loi sur la médiation (LMédiation),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 25.03,Règlement relatif aux médiatrices et médiateurs assermentés (RMA),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
E 6 25.04,Règlement relatif au dispositif d'encouragement à la médiation (RDEM),E,E 6,Professions juridiques,"Droit civil et droit pénal, organisation judiciaire et procédure"
F 1 05,Loi sur la police (LPol),F,F 1,Organisation de la police,Police
F 1 05.01,Règlement sur l’organisation de la police (ROPol),F,F 1,Organisation de la police,Police
F 1 05.07,Règlement général sur le personnel de la police (RGPPol),F,F 1,Organisation de la police,Police
F 1 05.08,Règlement sur l'organe de médiation indépendante entre la population et la police (RMIPP),F,F 1,Organisation de la police,Police
F 1 05.15,Règlement sur les émoluments et frais des services de police (REmPol),F,F 1,Organisation de la police,Police
F 1 05.18,Règlement concernant les chiens de police (RChPol),F,F 1,Organisation de la police,Police
F 1 05.24,Règlement relatif aux soins médicaux des fonctionnaires de police et de la prison (RSMPP),F,F 1,Organisation de la police,Police
F 1 07,"Loi sur les agents de la police municipale, les contrôleurs municipaux du stationnement et les gardes auxiliaires des communes (LAPM)",F,F 1,Organisation de la police,Police
F 1 07.01,Règlement sur les agents de la police municipale (RAPM),F,F 1,Organisation de la police,Police
F 1 10,Concordat du 3 avril 2014 réglant la coopération en matière de police en Suisse romande (CCPSR),F,F 1,Organisation de la police,Police
F 1 10.0,Loi autorisant le Conseil d'Etat à adhérer au concordat du 3 avril 2014 réglant la coopération en matière de police en Suisse romande (L-CCPSR),F,F 1,Organisation de la police,Police
F 1 15,Convention relative aux transports de police (CTPol),F,F 1,Organisation de la police,Police
F 1 15.0,Loi approuvant la convention relative aux transports de police (L-CTPol),F,F 1,Organisation de la police,Police
F 1 20,Convention sur les frais d’interventions de police extracantonales selon l’article 16 de la Constitution fédérale (CFIP),F,F 1,Organisation de la police,Police
F 1 25,Loi sur les renseignements et les dossiers de police et la délivrance des certificats de bonne vie et mœurs (LCBVM),F,F 1,Organisation de la police,Police
F 1 25.01,Règlement d’application de la loi sur les renseignements et les dossiers de police et la délivrance des certificats de bonne vie et mœurs (RCBVM),F,F 1,Organisation de la police,Police
F 1 30,Loi sur les violences domestiques (LVD),F,F 1,Organisation de la police,Police
F 1 50,Loi sur l’organisation des établissements et le statut du personnel pénitentiaires (LOPP),F,F 1,Organisation de la police,Police
F 1 50.01,Règlement sur l'organisation des établissements et le statut du personnel pénitentiaires (ROPP),F,F 1,Organisation de la police,Police
F 1 50.04,Règlement sur le régime intérieur de la prison et le statut des personnes incarcérées (RRIP),F,F 1,Organisation de la police,Police
F 1 50.06,Règlement relatif à l’identification des détenus (RID),F,F 1,Organisation de la police,Police
F 1 50.08,Règlement relatif aux établissements ouverts ou fermés d’exécution des peines et des sanctions disciplinaires (REPSD),F,F 1,Organisation de la police,Police
F 1 50.09,Règlement fixant les indemnités pour la direction et le personnel de surveillance des établissements de détention (RIED),F,F 1,Organisation de la police,Police
F 1 50.15,Règlement de l'établissement de Curabilis (RCurabilis),F,F 1,Organisation de la police,Police
F 1 50.24,Règlement du centre éducatif de détention et d'observation de la Clairière (RClairière),F,F 1,Organisation de la police,Police
F 1 51,Loi sur le convoyage et la surveillance des détenus hors des établissements pénitentiaires (LCSD),F,F 1,Organisation de la police,Police
F 1 51.03,Règlement sur la brigade de sécurité et des audiences (RBSA),F,F 1,Organisation de la police,Police
F 1 52,Loi sur la planification pénitentiaire (LPPén),F,F 1,Organisation de la police,Police
F 2 05,Loi sur le séjour et l’établissement des Confédérés (LSEC),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 05.01,Règlement d’application de la loi sur le séjour et l’établissement des Confédérés (RSEC),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 10,Loi d’application de la loi fédérale sur les étrangers (LaLEtr),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 10.01,Règlement d'application de la loi fédérale sur les étrangers (RaLEtr),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 10.02,Règlement d’application de l’ordonnance fédérale sur la libre circulation des personnes (RaOLCP),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 12,Concordat sur l’exécution de la détention administrative à l’égard des étrangers (CEDA),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 12.0,Loi d’approbation du concordat sur l’exécution de la détention administrative à l’égard des étrangers (L-CEDA),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 12.04,Règlement de la Conférence romande des chefs de département compétents en matière de police des étrangers concernant la Fondation romande de détention LMC (RCRLMC),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 12.08,Règlement de l’établissement concordataire de détention administrative de Frambois (RFrambois),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 12.09,Règlement de l'établissement de détention administrative de Favra (RFavra),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 15,Loi d’application de la loi fédérale sur l’asile (LaLAsi),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 15.04,Règlement d'exécution concernant les mesures de réquisition d'immeubles en mains publiques aux fins d'héberger des personnes migrantes (RRIMPM),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 20.08,"Règlement relatif à la délivrance de renseignements et de documents, ainsi qu’à la perception de diverses taxes, par l’office cantonal de la population et des migrations et les communes (RDROCPMC)",F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 2 25,Loi d’application de la loi fédérale sur l’harmonisation des registres des habitants et d’autres registres officiels de personnes (LaLHR),F,F 2,"Séjour et établissements, police des étrangers, recensement",Police
F 3 10,Loi sur les manifestations sur le domaine public (LMDPu),F,F 3,Police de la rue et autres lieux publics,Police
F 3 10.01,Règlement d’exécution de la loi sur les manifestations sur le domaine public (RMDPu),F,F 3,Police de la rue et autres lieux publics,Police
F 3 17,Loi concernant la facturation des frais de sécurité lors de manifestations (LFFSM),F,F 3,Police de la rue et autres lieux publics,Police
F 3 17.01,Règlement d’application de la loi concernant la facturation des frais de sécurité lors de manifestations (RFFSM),F,F 3,Police de la rue et autres lieux publics,Police
F 3 18,Concordat instituant des mesures contre la violence lors de manifestations sportives (CMVMS),F,F 3,Police de la rue et autres lieux publics,Police
F 3 18.0,Loi autorisant le Conseil d’Etat à adhérer au concordat instituant des mesures contre la violence lors de manifestations sportives (L-CMVMS),F,F 3,Police de la rue et autres lieux publics,Police
F 3 18.02,Règlement d'application du concordat instituant des mesures contre la violence lors de manifestations sportives (R-CMVMS),F,F 3,Police de la rue et autres lieux publics,Police
F 3 20,Loi sur les procédés de réclame (LPR),F,F 3,Police de la rue et autres lieux publics,Police
F 3 20.01,Règlement d'application de la loi sur les procédés de réclame (RPR),F,F 3,Police de la rue et autres lieux publics,Police
F 3 20.03,Règlement fixant le tarif des procédés de réclame (RTPR),F,F 3,Police de la rue et autres lieux publics,Police
F 3 30.03,Règlement sur les bains publics (RBains),F,F 3,Police de la rue et autres lieux publics,Police
F 3 30.04,Règlement de la plage publique des Eaux-Vives (RPEV),F,F 3,Police de la rue et autres lieux publics,Police
F 4 05,"Loi sur la prévention des sinistres, l’organisation et l’intervention des sapeurs-pompiers (LPSSP)",F,F 4,Police du feu,Police
F 4 05.01,"Règlement d’application de la loi sur la prévention des sinistres, l’organisation et l’intervention des sapeurs-pompiers (RPSSP)",F,F 4,Police du feu,Police
F 4 05.08,Règlement fixant le tarif des émoluments applicables aux interventions effectuées par l’office cantonal de la protection de la population et des affaires militaires et la direction de l’inspectorat de la construction (REmFeu),F,F 4,Police du feu,Police
F 4 15,Loi sur les caisses de secours des sapeurs-pompiers (LCSSP),F,F 4,Police du feu,Police
F 4 15.01,"Règlement sur les caisses de secours et primes d’ancienneté des sapeurs-pompiers des trois arrondissements ruraux du canton de Genève : lac et Arve, Arve et Rhône, Rhône et lac (RCSSP)",F,F 4,Police du feu,Police
G 1 05,Loi d’application des dispositions fédérales sur la taxe d’exemption de l’obligation de servir (LaTE),G,G 1,Service militaire,"Militaire, protection civile et défense générale"
G 1 05.03,Règlement concernant l’application des prescriptions fédérales et cantonales sur la taxe d’exemption de l’obligation de servir (RaTE),G,G 1,Service militaire,"Militaire, protection civile et défense générale"
G 1 10.02,Règlement d’application des prescriptions fédérales sur le tir hors du service (RaTHS),G,G 1,Service militaire,"Militaire, protection civile et défense générale"
G 1 25.03,Règlement sur le corps de musique officiel de l'Etat de Genève (RCMO),G,G 1,Service militaire,"Militaire, protection civile et défense générale"
G 1 50,Loi cantonale sur le service civil (LCSC),G,G 1,Service militaire,"Militaire, protection civile et défense générale"
G 2 05,Loi d’application des dispositions fédérales en matière de protection civile (LProCi),G,G 2,Protection civile,"Militaire, protection civile et défense générale"
G 2 05.01,Règlement d’exécution de la loi d’application des dispositions fédérales en matière de protection civile (RProCi),G,G 2,Protection civile,"Militaire, protection civile et défense générale"
G 2 10.02,Règlement d’application des dispositions fédérales sur la protection des biens culturels en cas de conflit armé (RaPBC),G,G 2,Protection civile,"Militaire, protection civile et défense générale"
G 3 02.02,Règlement d’application de la loi fédérale sur l’approvisionnement économique du pays (RaLAEP),G,G 3,Défense générale,"Militaire, protection civile et défense générale"
G 3 03,Loi d’application des dispositions fédérales en matière de protection de la population (LProPop),G,G 3,Défense générale,"Militaire, protection civile et défense générale"
G 3 03.04,Règlement sur l'organisation en cas de catastrophe et de situation exceptionnelle (RORCA-GE),G,G 3,Défense générale,"Militaire, protection civile et défense générale"
G 3 10,Loi sur le service sanitaire coordonné (LSSC),G,G 3,Défense générale,"Militaire, protection civile et défense générale"
H 1 05,Loi d’application de la législation fédérale sur la circulation routière (LaLCR),H,H 1,Circulation,Transports et communications
H 1 05.01,Règlement d’exécution de la loi d’application de la législation fédérale sur la circulation routière (RaLCR),H,H 1,Circulation,Transports et communications
H 1 05.08,Règlement sur les émoluments de l’office cantonal des véhicules (REmOCV),H,H 1,Circulation,Transports et communications
H 1 05.12,Règlement sur le service cantonal de la fourrière des véhicules (RSCFV),H,H 1,Circulation,Transports et communications
H 1 05.16,Règlement sur les patrouilleurs et patrouilleuses scolaires adultes (RPSA),H,H 1,Circulation,Transports et communications
H 1 10.03,Règlement concernant la circulation et le stationnement des véhicules sur les terrains privés (RCSV),H,H 1,Circulation,Transports et communications
H 1 13,Loi sur la Fondation des parkings (LFPark),H,H 1,Circulation,Transports et communications
H 1 20,Loi sur la mobilité (LMob),H,H 1,Circulation,Transports et communications
H 1 21,Loi pour une mobilité cohérente et équilibrée (LMCE),H,H 1,Circulation,Transports et communications
H 1 21.03,Règlement relatif aux plans de mobilité d'entreprises (RPMob),H,H 1,Circulation,Transports et communications
H 1 31,Loi sur les taxis et les voitures de transport avec chauffeur (LTVTC),H,H 1,Circulation,Transports et communications
H 1 31.01,Règlement d'exécution de la loi sur les taxis et les voitures de transport avec chauffeur (RTVTC),H,H 1,Circulation,Transports et communications
H 1 40.02,Règlement d’application de l’ordonnance fédérale sur les concessions pour le transport des voyageurs (RaOFCT),H,H 1,Circulation,Transports et communications
H 1 50,Loi sur le réseau des transports publics (LRTP),H,H 1,Circulation,Transports et communications
H 1 50.01,Règlement d’exécution de la loi sur le réseau des transports publics (RRTP),H,H 1,Circulation,Transports et communications
H 1 55,Loi sur les Transports publics genevois (LTPG),H,H 1,Circulation,Transports et communications
H 1 55.03,Règlement relatif aux conditions d'octroi des rabais sur les abonnements Unireso (RRUnireso),H,H 1,Circulation,Transports et communications
H 1 55.04,Cahier des charges relatif à l’utilisation du domaine public en vue de l’exploitation des Transports publics genevois (CCTPG),H,H 1,Circulation,Transports et communications
H 1 60,Loi sur le développement des infrastructures ferroviaires (LDIF-GE),H,H 1,Circulation,Transports et communications
H 1 70,Loi sur les infrastuctures de transport issues du projet d’agglomération franco-valdo-genevois (LITAgglo),H,H 1,Circulation,Transports et communications
H 1 80,Loi sur la mobilité douce (LMD),H,H 1,Circulation,Transports et communications
H 1 80.01,Règlement sur la mobilité douce (RMD),H,H 1,Circulation,Transports et communications
H 2 05,Loi sur la navigation dans les eaux genevoises (LNav),H,H 2,Navigation,Transports et communications
H 2 05.01,Règlement d’application de la loi sur la navigation dans les eaux genevoises (RNav),H,H 2,Navigation,Transports et communications
H 2 10,Loi sur la Compagnie générale de navigation sur le Lac Léman (LCGN),H,H 2,Navigation,Transports et communications
H 2 15.03,Règlement concernant l’indication du poids sur les gros colis destinés à être transportés par bateaux (RPGCTB),H,H 2,Navigation,Transports et communications
H 3 05.02,Règlement concernant l’exécution de la loi fédérale sur l’aviation (RaLA),H,H 3,Navigation aérienne,Transports et communications
H 3 10,Loi sur la procédure en matière de zones de sécurité et de bruit (LZSB),H,H 3,Navigation aérienne,Transports et communications
H 3 15.03,Règlement interdisant la descente des hydravions commerciaux sur la partie du lac de Genève entre le pont du Mont-Blanc et la Versoix (RHydr),H,H 3,Navigation aérienne,Transports et communications
H 3 25,Loi sur l’Aéroport international de Genève (LAIG),H,H 3,Navigation aérienne,Transports et communications
H 3 25.01,Règlement d’application de la loi sur l’Aéroport international de Genève (RAIG),H,H 3,Navigation aérienne,Transports et communications
I 1 05,Loi sur les heures d’ouverture des magasins (LHOM),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 05.01,Règlement d’exécution de la loi sur les heures d’ouverture des magasins (RHOM),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 10,"Loi sur la concurrence déloyale, l'indication et la surveillance des prix et sur les jeux-concours publicitaires (LCDIPJ)",I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 10.03,Règlement d’application des dispositions fédérales sur l’indication des prix (RaPrix),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 15.04,Règlement d’application de la loi fédérale sur la métrologie (RaLMétr),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 25,Loi relative à Timelab – Fondation du laboratoire d’horlogerie et de microtechnique de Genève (LTLHM),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 25.04,"Règlement concernant l’organisation du bureau de contrôle facultatif des montres de Genève, poinçon de Genève (RBCFM)",I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 25.08,Règlement sur le contrôle facultatif des montres de Genève (RCFM),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 35.02,Règlement d'application de la loi fédérale sur le commerce itinérant (RaLFCI),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 36,Loi en faveur du développement de l’économie et de l’emploi (LDévEco),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 36.03,Règlement instituant un conseil pour le développement de l'employabilité (RCDE),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 37,Loi sur l'aide aux entreprises (LAE),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 37.01,Règlement d'application de la loi sur l'aide aux entreprises (RAE),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 40,Loi accordant le statut de « JEDI » aux jeunes entreprises développant des innovations (LJEDI),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 50,Convention intercantonale sur la vente du sel en Suisse (CISel),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 50.0,Loi concernant la convention intercantonale sur la vente du sel en Suisse (L-CISel),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 51,Loi sur la vente du sel (LVS),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 60,Loi sur le tourisme (LTour),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 1 60.01,Règlement d’application de la loi sur le tourisme (RTour),I,I 1,"Commerce, industrie et tourisme","Commerce, industrie, arts et métiers, logement"
I 2 03,"Loi sur l’exercice des professions ou industries permanentes, ambulantes et temporaires (LEP)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 03.04,"Règlement concernant l’installation, l’exploitation et le contrôle des appareils automatiques (RIECA)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 09,Loi sur le commerce d’objets usagés ou de seconde main (LCOU),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 09.01,Règlement d’exécution de la loi sur le commerce d’objets usagés ou de seconde main (RCOU),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 12,Loi sur les agentes et agents intermédiaires (LAInt),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 12.01,Règlement d’exécution de la loi sur les agentes et agents intermédiaires (RAInt),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 14,Concordat sur les entreprises de sécurité (CES),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 14.0,Loi concernant le concordat sur les entreprises de sécurité (L-CES),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 14.01,Règlement concernant le concordat sur les entreprises de sécurité (RCES),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 18.02,"Règlement d’application de la loi fédérale sur les armes, les accessoires d’armes et les munitions (RaLArm)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 22,"Loi sur la restauration, le débit de boissons, l’hébergement et le divertissement (LRDBHD)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 22.01,"Règlement d’exécution de la loi sur la restauration, le débit de boissons, l’hébergement et le divertissement (RRDBHD)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 25,"Loi sur la remise à titre gratuit et la vente à l'emporter de boissons alcooliques, de produits du tabac et de produits assimilés au tabac (LTGVEAT)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 25.01,"Règlement d'exécution de la loi sur la remise à titre gratuit et la vente à l'emporter de boissons alcooliques, de produits du tabac et de produits assimilés au tabac (RTGVEAT)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 30,Loi sur les ventes volontaires aux enchères publiques (LVVE),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 30.01,Règlement d’exécution de la loi sur les ventes volontaires aux enchères publiques (RVVE),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 36,Loi instituant le dépôt légal (LIDL),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 36.01,Règlement d’application de la loi instituant le dépôt légal (RIDL),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 43,"Loi sur les prêteurs professionnels, les prêts d’argent et l’octroi de crédits (LPrêt)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 43.01,"Règlement d'exécution de la loi sur les prêteurs professionnels, les prêts d’argent et l’octroi de crédits (RPrêt)",I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 46,Loi sur les traducteurs-jurés (LTJ),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 46.01,Règlement d’application de la loi sur les traducteurs-jurés (RTJ),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 49,Loi sur la prostitution (LProst),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 2 49.01,Règlement d’exécution de la loi sur la prostitution (RProst),I,I 2,Professions et métiers divers,"Commerce, industrie, arts et métiers, logement"
I 3 11,Loi d’application de la loi fédérale sur les jeux d’argent (LaLJAr),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 13,Loi sur les maisons de jeu (LMJeu),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 15.03,"Règlement d’exécution de la loi fédérale sur les loteries et les paris professionnels, ainsi que sur la perception du droit des pauvres (RaLLP)",I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 15.09,Règlement sur l’aide au sport (RASport),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 16,Concordat sur les jeux d’argent au niveau suisse (CJA),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 16.0,Loi autorisant le Conseil d’Etat à adhérer au concordat sur les jeux d’argent au niveau suisse (L-CJA),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 17,Convention romande sur les jeux d’argent (CORJA),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 17.0,Loi autorisant le Conseil d’Etat à adhérer à la convention romande sur les jeux d’argent (L-CORJA),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 17.03,Règlement sur le Fonds de soutien genevois de la Loterie romande (RLoRo),I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 3 20.04,"Règlement relatif à l’organisation de tirs aux armes à feu, à air comprimé, à traits ou à flèches (ROTA)",I,I 3,"Spectacles, divertissements, jeux et loteries","Commerce, industrie, arts et métiers, logement"
I 4 05,Loi générale sur le logement et la protection des locataires (LGL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 05.01,Règlement d’exécution de la loi générale sur le logement et la protection des locataires (RGL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 06,Loi pour la construction de logements d’utilité publique (LUP),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 06.01,Règlement d’exécution de la loi pour la construction de logements d’utilité publique (RUP),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 07,Loi d’application de la loi fédérale sur les contrats-cadres de baux à loyer et leur déclaration de force obligatoire générale (LaLCBL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 10,Loi protégeant les garanties fournies par les locataires (LGFL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 10.01,Règlement d’exécution de la loi protégeant les garanties fournies par les locataires (RGFL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 40,Loi pour un plan d’urgence-logements (LPUL),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 45.03,Règlement relatif à la consignation du loyer (RConsign),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 45.06,Règlement relatif à la pénurie en matière d’habitations et de locaux commerciaux (RPHLC),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 45.07,Arrêté déterminant les catégories de logements où sévit la pénurie en vue de l’application de l’article 207 de la loi d’application du code civil suisse et d’autres lois fédérales en matière civile (ArCAP),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 53,Loi sur l’aide à la propriété individuelle (LAPI),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 53.01,Règlement d’application de la loi sur l’aide à la propriété individuelle (RAPI),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 55,Loi encourageant l’accession à la propriété du logement par l’épargne-logement (LAPLE),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
I 4 55.01,Règlement d’application de la loi encourageant l’accession à la propriété du logement par l’épargne-logement (RAPLE),I,I 4,Logement,"Commerce, industrie, arts et métiers, logement"
J 1 05,Loi sur l'inspection et les relations du travail (LIRT),J,J 1,Relations du travail,Législation sociale
J 1 05.01,Règlement d’application de la loi sur l’inspection et les relations du travail (RIRT),J,J 1,Relations du travail,Législation sociale
J 1 05.03,Arrêté relatif au salaire minimum cantonal pour l’année 2025 (ArSMC-2025),J,J 1,Relations du travail,Législation sociale
J 1 15,Loi concernant la Chambre des relations collectives de travail (LCRCT),J,J 1,Relations du travail,Législation sociale
J 1 15.01,Règlement d’application de la loi concernant la Chambre des relations collectives de travail (RCRCT),J,J 1,Relations du travail,Législation sociale
J 1 15.03,Règlement fixant les indemnités allouées aux juges de la Chambre des relations collectives de travail (RIJCRCT),J,J 1,Relations du travail,Législation sociale
J 1 20,Loi protégeant les garanties fournies par les employés (LPGFE),J,J 1,Relations du travail,Législation sociale
J 1 45,Loi sur les jours fériés (LJF),J,J 1,Relations du travail,Législation sociale
J 1 50.03,Contrat-type de travail avec salaires minimaux impératifs de l’économie domestique (CTT-EDom),J,J 1,Relations du travail,Législation sociale
J 1 50.04,Contrat-type de travail avec salaires minimaux impératifs pour les organisations de soins et d'aide à domicile (CTT-OSAD),J,J 1,Relations du travail,Législation sociale
J 1 50.06,Contrat-type de travail avec salaires minimaux impératifs pour le secteur de l'assistance au sol aux compagnies aériennes (CTT-ASCA),J,J 1,Relations du travail,Législation sociale
J 1 50.07,Contrat-type de travail avec salaires minimaux impératifs pour le secteur de la mécatronique (CTT-Méca),J,J 1,Relations du travail,Législation sociale
J 1 50.09,Contrat-type de travail de l’agriculture (CTT-Agri),J,J 1,Relations du travail,Législation sociale
J 1 50.12,Contrat-type de travail des jeunes gens au pair majeurs (CTT-TPMaj),J,J 1,Relations du travail,Législation sociale
J 1 50.15,Contrat-type de travail des jeunes gens au pair mineurs (CTT-TPMin),J,J 1,Relations du travail,Législation sociale
J 1 50.16,Contrat-type de travail avec salaires minimaux impératifs des esthéticiennes (CTT-Esthé),J,J 1,Relations du travail,Législation sociale
J 1 50.17,Contrat-type de travail avec salaires minimaux impératifs pour le secteur du commerce de détail (CTT-CD),J,J 1,Relations du travail,Législation sociale
J 1 50.18,Contrat-type de travail avec salaires minimaux impératifs pour le transport professionnel de choses (CTT-TPC),J,J 1,Relations du travail,Législation sociale
J 1 50.19,Contrat-type de travail avec salaires minimaux impératifs des monteurs de stands (CTT-MStands),J,J 1,Relations du travail,Législation sociale
J 2 05,Loi sur le service de l’emploi et la location de services (LSELS),J,J 2,Placement et chômage,Législation sociale
J 2 05.01,Règlement d’exécution de la loi sur le service de l’emploi et la location de services (RSELS),J,J 2,Placement et chômage,Législation sociale
J 2 20,Loi en matière de chômage (LMC),J,J 2,Placement et chômage,Législation sociale
J 2 20.01,Règlement d’exécution de la loi en matière de chômage (RMC),J,J 2,Placement et chômage,Législation sociale
J 2 20.03,Règlement relatif à la caisse cantonale genevoise de chômage (RCCGC),J,J 2,Placement et chômage,Législation sociale
J 3 05,Loi d’application de la loi fédérale sur l’assurance-maladie (LaLAMal),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.01,Règlement d’exécution de la loi d’application de la loi fédérale sur l’assurance-maladie (RaLAMal),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.05,Règlement fixant les tarifs des prestations fournies par les maisons de naissance en 2012 (RTEH-2012),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.06,Règlement fixant les tarifs des prestations fournies par les Hôpitaux universitaires de Genève dans le domaine des soins somatiques aigus (régime sans convention) (RTHUG-SSA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
